"Location Properties"
"Location Name = PNNL TANK"
"Location ID = 7582ecd6-5f37-414a-9151-e2a0240a02a7"
"Latitude = 48.07961068916916 °"
"Longitude = -123.04619712913058 °"
""
"Report Properties"
"Start Time = 2024-07-22 13:35:36"
"Duration = 2.22:00:00"
"Readings = 71"
"Time Offset = -07:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 669249"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = PNNL_TANK_7_22"
"Log Type = Linear"
"Log File Number = 14"
"Log ID = 6600e095-c54f-4df5-ab54-62c790b65907"
"Interval = 01:00:00"
""
""
"Date Time","Actual Conductivity (µS/cm) (661921)","Specific Conductivity (µS/cm) (661921)","Salinity (PSU) (661921)","Resistivity (Ω⋅cm) (661921)","Density (g/cm³) (661921)","Total Dissolved Solids (ppt) (661921)","pH (pH) (1111222)","pH mV (mV) (1111222)","ORP (mV) (1111222)","RDO Concentration (mg/L) (662696)","RDO Saturation (%Sat) (662696)","Oxygen Partial Pressure (Torr) (662696)","Temperature (°C) (669249)","External Voltage (V) (669249)","Battery Capacity (%) (669249)","Barometric Pressure (mm Hg) (669249)","Pressure (psi) (661661)","Depth (ft) (661661)"
"2024-07-24 10:35:36","49494.242","53275.84","35.58369","20.20437","1.0248626","34.629295","8.2448435","-77.586174","273.08606","7.3602686","101.78226","151.70915","21.28369","0","93","763.14526","15.264498","34.98395"
"2024-07-24 11:35:36","49510.54","53288.684","35.593533","20.19772","1.024869","34.637646","8.244154","-77.54803","274.63104","7.3617764","101.81663","151.75937","21.287983","0","93","763.14526","15.264131","34.982586"
"2024-07-24 12:35:36","49506.06","53274.766","35.583466","20.199549","1.024859","34.6286","8.243613","-77.51942","276.82922","7.362681","101.83836","151.7898","21.296288","0","93","763.14526","15.263468","34.981018"
"2024-07-24 13:35:36","49531.277","53287.938","35.593945","20.189262","1.0248634","34.637157","8.243302","-77.50511","277.1106","7.3674455","101.933754","151.92892","21.309038","0","93","763.14526","15.26554","34.98298"
"2024-07-24 14:35:36","49541.54","53282.45","35.59052","20.185081","1.0248567","34.63359","8.242061","-77.438354","275.0268","7.364531","101.91886","151.90314","21.324133","0","93","763.14526","15.271732","34.99991"
"2024-07-24 15:35:36","49557.07","53284.59","35.59274","20.178755","1.0248548","34.634983","8.241581","-77.41451","271.87012","7.375017","102.08969","152.15457","21.337439","0","93","763.14526","15.271512","35.000134"
"2024-07-24 16:35:36","49552.48","53267.832","35.580658","20.180624","1.0248427","34.624092","8.240777","-77.3716","271.20734","7.367522","101.998566","152.0162","21.348244","0","93","763.14526","15.270097","34.993893"
"2024-07-24 17:35:36","49568.89","53265.35","35.579636","20.173944","1.0248367","34.62248","8.240357","-77.35252","274.88373","7.3593926","101.918816","151.89296","21.366646","0","93","763.14526","15.264042","34.98328"
"2024-07-24 18:35:36","49575.605","53259.54","35.575817","20.171211","1.0248306","34.618702","8.239549","-77.30961","275.52747","7.3667884","102.040726","152.0718","21.378563","0","93","763.14526","15.2621565","34.97942"
"2024-07-24 19:35:36","49591.8","53272.03","35.585407","20.164623","1.0248367","34.626823","8.239528","-77.30961","274.97913","7.358914","101.94565","151.92902","21.38305","0","93","763.14526","15.260038","34.971127"
"2024-07-24 20:35:36","49587.25","53262.734","35.57861","20.166473","1.0248305","34.620777","8.23951","-77.30961","274.2162","7.3602905","101.96786","151.96115","21.387085","0","93","763.14526","15.261649","34.978104"
"2024-07-24 21:35:36","49587.2","53263.406","35.579082","20.166494","1.0248308","34.621212","8.239094","-77.28577","276.28564","7.3593683","101.9542","151.94096","21.38642","0","93","763.14526","15.261835","34.978706"
"2024-07-24 22:35:36","49570.746","53247.453","35.567036","20.17319","1.0248221","34.610844","8.238767","-77.26669","275.6753","7.3683767","102.06902","152.11246","21.384844","0","93","763.14526","15.265474","34.98718"
"2024-07-24 23:35:36","49585.902","53269.72","35.583496","20.167023","1.0248362","34.625317","8.23921","-77.290535","277.71143","7.357517","101.91835","151.88924","21.37937","0","93","763.14526","15.269876","34.996956"
